id,source_wsi,dataset,i,j
01c042f840bf,11,3,08149,47633
01c58a343ca5,9,3,04096,38912
01c7cce09c89,14,3,06155,29089
01cf04b9c135,11,3,09685,36369
01e8e004bcf1,6,3,18432,34304
021bdce07d92,12,3,26112,27648
0227ee40c948,14,3,08203,47521
022ce8091bd4,9,3,04096,42496
02346935cc44,12,3,15360,26112
023b986830c6,7,3,09216,17920
024068eaf2e3,12,3,17920,21504
024b1a4bf7eb,11,3,06613,40465
02583df5b7b3,12,3,25600,27648
025ec20b8b73,1,2,07680,10240
02649e43a4a5,13,3,12800,27136
026e83a9b093,8,3,11264,23040
0275e6a49d05,12,3,07680,29184
0276eb166cce,2,2,22528,17956
027978823ec0,10,3,19552,28120
028ab327e111,10,3,20064,09176
02997e701614,13,3,15872,25088
02a0d7e73cae,11,3,13781,24593
02a7cc7c9e86,14,3,07691,07585
02a9c2f4c4d6,9,3,20992,22528
02ab86d50ab1,6,3,11264,22016
02adec58195b,10,3,19040,10200
02b1d3d92438,14,3,12299,31137
02b59bc55bc3,9,3,07680,35840
02c191e411b4,14,3,09739,32673
02cea4ca6f4f,11,3,12245,26129
02cf5c2db152,3,2,07680,13824
02d2022943a4,3,2,07168,15872
02d34a28b7f7,11,3,07637,44561
02d6f73a613e,7,3,24064,29184
02eff0077316,6,3,10240,19968
02f563532696,1,2,11264,03584
031c811f5c7e,14,3,11275,25505
03236d6723d1,8,3,17920,15360
033a656390b2,1,2,15872,09216
033e91059cec,4,2,02560,23040
0341c56b3eba,9,3,04096,29696
034934efd5fe,13,3,23040,37376
03534cda0b66,14,3,08715,20897
035f0e9f5a18,12,3,08704,18432
036385d10346,11,3,05077,29201
0369172e02d3,13,3,14848,31232
037902372e06,9,3,07680,40448
037d685f6234,14,3,14347,19361
03880349ea63,10,3,15968,29144
0388b4273dd2,14,3,12811,08609
0391468317ef,10,3,20064,08664
039243680d99,11,3,17365,26129
039a58045e10,10,3,18528,15832
039c17f8732f,13,3,24064,33280
039fc46f0371,6,3,17920,21504
03bde4bdd78a,14,3,10763,27041
03c434c39c6f,9,3,15872,31744
03d335057db3,1,2,10240,05632
03e63191f205,6,3,12800,06656
03f16b5220a6,6,3,13824,11776
03fe85bfffff,11,3,14805,39953
040588c64d59,7,3,12288,22016
040701c60738,9,3,17920,23552
040d3026be2c,11,3,18901,44049
04108eb15d5f,8,3,06144,18432
04158719e183,6,3,14848,22528
041588f936e1,3,2,08192,08704
041ad8166762,3,2,02560,14336
041b985201d6,2,2,23552,20004
041cbf3441a0,6,3,16384,10752
0426c735e005,9,3,13312,28672
0429fb238154,13,3,16896,25088
044034d62a86,12,3,09216,24064
044b7399c05c,7,3,17408,26112
044dc0991578,10,3,13408,20952
044dc83439c2,9,3,09728,26112
045174381ac5,14,3,14347,37793
045436cc6fc7,7,3,16384,18944
045a5dc86678,13,3,13824,22528
045ef4a632be,9,3,15360,27136
046cc3a6bbad,10,3,17504,21464
0478279e6e16,2,2,15360,16420
04920d9bc68c,12,3,08704,27136
0493d97e9c3f,12,3,09728,28672
0499835a1d31,13,3,26624,26624
049c8b2033cb,12,3,11264,30208
049dde5afcb0,9,3,14336,20480
04a594cb9b06,6,3,11264,15872
04ad8ea64f82,9,3,08192,31232
04b9bcc6349b,13,3,25600,37376
04c08080b2ae,1,2,07168,03584
04c58f23da44,11,3,09685,43537
04d6ae40901c,8,3,16384,12800
04d7da87eabb,13,3,09216,30208
04ea7630f980,14,3,12811,17313
04eaacfbb9f6,4,2,06656,21504
0505b6031b04,13,3,21504,40960
0520306895ca,9,3,19968,28672
0521ea45a25e,11,3,10709,36369
052203e2b26c,13,3,26112,36352
0522b4efe580,10,3,20064,14808
052f1fdabeee,12,3,08192,18432
053549ece93c,11,3,09173,25105
05362195fd5b,10,3,13920,15832
054f9dbbf673,13,3,20480,31744
054fdd07d2c9,13,3,10752,26112
055348e2fece,4,2,13312,20992
055525762002,10,3,14432,15832
05628dc55e70,12,3,17408,21504
05734cf7bfbc,13,3,10752,31744
0576d7505d11,10,3,22112,11224
0592e5f81381,11,3,04565,25105
0596bfb19322,1,1,07680,40448
0598997ca068,12,3,07168,19968
059de5cc205b,13,3,10240,32768
05a249bdaf03,14,3,12299,23457
05a5fb166117,11,3,06613,23057
05af1be429c2,12,3,09216,20480
05b2647e63a6,12,3,24064,16896
05d28e4c6467,10,3,22624,18904
05dd21a61705,4,2,02560,20992
05de6f2cc93a,7,3,12800,12800
05de83bd5237,11,3,12757,29201
05ea495ddc3e,11,3,13269,18961
05fc1c007119,14,3,13323,43425
05fd57976b42,9,3,19456,07680
06034408218a,1,1,03072,41472
06285d6b8f95,7,3,23552,20992
0632d7546a76,7,3,25600,22528
063e7bc221a8,13,3,25600,37888
0655fa439df8,9,3,20480,27648
0658f1250a7c,11,3,18389,38929
065a841a44ba,11,3,06613,25105
065ed4490163,3,2,10752,06144
065f19e3bfb4,11,3,16341,52753
0667203ecaac,3,2,08192,05632
066c0962f61f,14,3,11275,24481
067226b7fab2,9,3,18432,05632
0672b96aaccc,1,2,17408,10752
067a0fda9d24,12,3,14848,23040
067c2884efca,8,3,14336,09216
067f5c674ecc,8,3,17920,16384
0691d7db20db,8,3,08192,23040
069348e2588b,7,3,14336,30208
06b38f68889a,6,3,22016,29184
06b972c417e7,2,1,17920,22016
06d65d51d388,7,3,17408,31232
06e8ba42303a,10,3,14944,10200
06fa18cf65e4,7,3,12800,10240
070cba638e05,14,3,12811,20897
0717863ca2cb,2,2,23552,18468
07199abc71ec,4,2,02560,26112
072ed64e6b1e,13,3,23040,40960
072f5307f243,1,1,08192,45056
072f8258795b,8,3,17408,20480
073318977567,13,3,09216,31744
0739ff9f31de,6,3,15872,24064
074979a0d764,6,3,23040,28672
0749800b19e6,9,3,16896,06144
074df59d37ef,12,3,16384,27648
0754412b2917,2,1,16896,22016
0756314e1ec2,10,3,24160,18904
0765bbdc9383,9,3,15360,25600
0765f249adeb,2,2,25088,20004
0769691abb2e,7,3,09216,19968
076eb2bb95df,7,3,11264,22528
077251710d84,6,3,11776,33792
077c76891ebb,10,3,13920,08152
0788041b8689,9,3,18432,06656
0788fc3be62e,1,1,04608,38912
078c325d8bb6,8,3,06144,19456
079775bb2fdd,9,3,18432,24064
079a1e414427,8,3,15360,17408
07a18d99770a,12,3,14336,20480
07aa9588d526,10,3,20064,24024
07b7e6025852,13,3,25600,40448
07b809228ef4,1,2,13824,09728
07bdbe578ded,2,1,23040,22016
07c40206c13e,8,3,17920,24064
07c9320dcf08,8,3,15360,10752
07d11facd808,11,3,06101,31761
07e221fcc03f,9,3,04096,25600
07edb2d7b7db,7,3,12288,10240
07f214d5cfe6,6,3,14848,11264
080384be79a5,8,3,19456,24064
0804072fa02a,3,2,05120,11264
081ecd080bb8,11,3,13781,29201
0828cc1c22be,1,2,12288,05120
083c1684aaf8,6,3,22016,30208
0852c64a8e8e,7,3,24064,14848
086353abf1c3,9,3,17920,25600
0870e4f9d580,2,2,24576,23040
08782283dacc,9,3,18432,27136
08887dec3fb7,11,3,08149,21009
088db93868f1,9,3,11264,30720
0897a6732808,13,3,20480,32256
089a9e6be240,1,1,02048,42496
08a1b468620a,4,2,11776,22528
08ba150ca8c0,9,3,08192,26624
08bdf9a3d66d,14,3,09739,22945
08c8cfe69757,10,3,19040,28632
08df9f8bf96f,14,3,07691,30113
08e2fa7b08f0,4,2,03584,25088
08e7e424a77c,14,3,08715,13729
08e928c78b6f,12,3,13312,17920
08ea167cfd5d,4,2,11264,21504
08ed99cd1c93,3,2,08192,11264
08ef029e160d,6,3,19456,17920
08fb68d4595a,8,3,13824,10752
09170214402a,9,3,06656,35840
09213ecbfa1e,14,3,11275,36769
0922dc0d0700,8,3,23040,19456
0936d2ad1aa2,7,3,24576,27648
093a52e9bc1d,1,1,09216,40448
093c41335b4d,6,3,20480,31232
093d4295e2fd,7,3,18944,26112
0940cea5b7f2,6,3,20480,11264
0945f659b4f7,9,3,19456,10240
094cf36df2f1,11,3,16853,38929
09644decc895,3,2,09216,04096
096957ebdaf6,14,3,10763,47521
097dd2ed6c14,2,1,23040,23040
09a1f9a9acb5,10,3,14432,28120
09baf62b7380,9,3,12288,06144
09c06b79292c,3,2,03584,10752
09c27af94207,7,3,07168,30208
09ce9f69c8af,14,3,10251,45473
09ced8df4c1f,7,3,16896,23040
09d736c55365,3,2,09728,04096
09da47a2844f,9,3,11776,32768
09df7e1fe1cc,3,2,06144,10240
09e1916da449,1,2,08704,04608
09e3d02dfd1c,4,2,11776,25600
09ed9cec9c94,11,3,15317,49681
09edc0ac7196,6,3,19456,14848
09f395ab0044,9,3,17920,15360
09fec6ffb9cd,14,3,12299,40353
0a020cee6fad,8,3,22528,23040
0a10b8716b30,1,1,10752,46592
0a152cf103e4,2,2,20480,13348
0a196bcc2f73,11,3,14293,36369
0a1ade5c6acd,12,3,14848,20992
0a1d277fb473,3,2,05120,11776
0a2acabf9a35,12,3,12288,23552
0a31d6f801da,6,3,17408,35328
0a41586e45ba,7,3,19456,10240
0a41e5e7ff7d,11,3,12245,47121
0a43459733e7,2,1,24064,23040
0a4393cd0d9f,12,3,22016,27648
0a4ddecc55f0,4,2,12288,26624
0a53ab4aabed,10,3,14432,19416
0a5be90855e3,2,1,18944,22528
0a631efbc3e4,3,2,08704,16384
0a646283f7d1,11,3,08149,52753
0a68b5187413,10,3,16992,16344
0a6b5f404de7,6,3,22016,25088
0a708283ccc9,13,3,20992,38912
0a794d48e6a9,12,3,17408,17920
0a993633aa5e,1,2,06656,10240
0ab9d193fcf6,2,2,15872,20004
0acd70e887b3,2,1,16896,21504
0adc98c563d3,7,3,07168,11264
0ae85cbb0213,8,3,19968,11776
0ae9282b7594,4,2,05632,26112
0b04553b0939,8,3,19968,12288
0b3dd9e0710e,8,3,08192,13312
0b3f5ce071f5,8,3,20992,22016
0b61862c363a,14,3,07179,22945
0b61b34204d4,6,3,12288,17408
0b642a905073,12,3,13824,22528
0b6840cd2b18,14,3,14347,16801
0b7772cced70,14,3,12811,38305
0b7eeeb38587,13,3,26624,34816
0b8029db1fb4,1,1,03584,41984
0b836c8bc406,9,3,19456,15872
0b842fadf778,11,3,10709,25105
0b849dde56be,2,1,22528,22016
0b89ab7f9f07,2,1,16384,23040
0b935dd9ef6a,2,2,24576,18468
0b989fe8238f,3,2,08704,08704
0b9c9c706cb8,10,3,20064,25048
0b9eb5a0468d,12,3,25600,23040
0ba04a691942,8,3,08192,13824
0ba172f33ea6,1,2,16896,09216
0ba94fd7a07e,7,3,24064,31232
0badf9266c14,11,3,13781,51217
0bb19bb73ca9,8,3,22016,15360
0bba36a953c6,7,3,23040,24576
0bbf19de9ff0,10,3,19040,22488
0bc2d73b2e55,13,3,24576,30208
0bc3e1a729e4,1,2,18432,09728
0bd23d24a875,2,2,17920,16420
0bd57c4b1fd2,7,3,23552,29184
0bdba67ef145,12,3,17408,20480
0bdceacd4c59,14,3,13835,32673
0be9b14718b9,4,2,07680,22528
0beb2c4da7c3,7,3,14336,22016
0bf1ee4f6b4d,10,3,21088,26584
0bf99df57b03,10,3,16480,22488
0c0032a3df9a,7,3,08704,18432
0c05e3861510,4,2,03584,21504
0c0fd0a91f64,7,3,16896,24064
0c119d08816f,13,3,26112,26112
0c16d08e9ef0,8,3,20480,25088
0c196e38f52b,7,3,24576,19456
0c1b9475e823,11,3,19413,20497
0c1c8457adc4,12,3,20992,22016
0c3065426d44,9,3,12288,21504
0c3086bd8efb,2,1,25600,20992
0c369727a022,9,3,13824,31744
0c4f6803583b,8,3,10752,18432
0c4f7eb47b7b,8,3,10752,17408
0c54942878fa,1,1,04608,41472
0c5c12f4ff06,14,3,13835,47009
0c5c30b26423,10,3,14944,28120
0c5c322a104a,2,2,20480,15908
0c6ee5bf522b,8,3,14336,18944
0c8d06996267,10,3,15968,20440
0c93218729d4,10,3,20576,23512
0ca00cb634d3,10,3,15456,30168
0ca123e79a20,9,3,19968,21504
0ca886b6720c,11,3,13269,25105
0ca889ae742a,12,3,15360,21504
0caa324721cd,14,3,10763,08609
0cb47c96bda2,3,2,13824,05120
0cb4b14bffea,10,3,13920,20440
0cb828d4ae82,14,3,13323,08609
0cc564c74306,4,2,10240,23040
0ccbf609c9ac,12,3,17408,26624
0ce440ad7080,1,2,13824,10240
0ceb4573ba89,13,3,14848,24576
0cec1b76a739,10,3,18528,24536
0cf420ed9ca0,8,3,14848,24576
0cf58cc68215,4,2,09216,27136
0cfc1ac5c961,9,3,12288,29184
0cfc2b9d6e95,7,3,19456,13824
0cfc82ee8347,10,3,21088,12760
0d14476bfdd6,11,3,16341,34833
0d19127cbdf2,7,3,12288,19968
0d1cc52aff5f,3,2,08192,06144
0d3023042599,8,3,22528,10240
0d31522f6dfe,7,3,08704,26624
0d345373711b,13,3,26112,37888
0d39eba08566,8,3,12288,12800
0d4227c4cc1d,9,3,11776,26112
0d4545709941,6,3,09728,06656
0d4762cbe17c,14,3,10251,46497
0d4b614755cc,6,3,10240,06144
0d54e3a40cb2,10,3,20576,20952
0d6329158f63,14,3,11275,09121
0d6c0cfee2db,1,1,04608,42496
0d77d32da5e2,2,2,18944,20004
0d9d65340ef8,1,1,02560,43008
0da5596bd718,2,2,19456,17956
0dac9b628997,8,3,14336,24576
0dcbb5c3aba6,13,3,25600,31232
0dcccb5acdcd,10,3,16992,14296
0dcde3819c8e,2,2,16384,14372
0dce2b8d2c25,1,1,05120,45056
0dce772844ac,10,3,18528,12248
0de9ed0a287d,11,3,06613,48657
0def202e0a03,4,2,08704,26624
0defd3082a2c,11,3,18389,47121
0df849381fe8,12,3,18944,17920
0dfdefc67519,9,3,14848,19968
0e0836cf1824,1,1,06144,38400
0e26357c192c,11,3,17877,46609
0e38dd599283,9,3,11776,39936
0e3b7f7aadfa,14,3,09739,35745
0e3c00986f28,10,3,22624,25560
0e4c8b91d6e0,8,3,10240,10752
0e4fe9217f68,6,3,18944,27136
0e55fa543b63,12,3,06144,28672
0e6b76e911dd,9,3,18944,18944
0e6eeb39d8f6,2,1,15872,21504
0e8213ff10d0,13,3,15360,29696
0e8738433beb,12,3,09216,26112
0e8aed930dc6,1,1,08704,44032
0e8bcbd26099,10,3,12896,21976
0e8da460b3b9,13,3,20480,41472
0e9651f77684,4,2,03072,24064
0e99fb808484,11,3,12245,52753
0e9cea4fd861,2,2,21504,15908
0e9f5de251eb,9,3,16384,19456
0ea9b5d5ba5e,13,3,12800,25600
0ebb57120003,9,3,08192,27136
0ed07c309dfe,12,3,10240,25088
0ed9b2070ad3,9,3,08192,27648
0edf2a1a6cba,10,3,22624,19928
0ee29883f790,9,3,19456,14848
0ee35ab9dd91,13,3,17408,27648
0ef7cf1567e7,6,3,21504,16896
0f0ab4318fee,11,3,08661,43537
0f0f52881c2d,13,3,24064,30720
0f36ee3d9b2c,10,3,18016,27608
0f3725381b69,8,3,19456,18944
0f37780c2d4d,13,3,22016,29696
0f598d818638,6,3,12800,25600
0f5b52a768e2,2,1,28160,21504
0f5dd9295350,8,3,22528,11264
0f6e1cb07f74,1,2,16384,10240
0f729a495beb,10,3,16480,28632
0f80f9ca29df,9,3,09216,37888
0f84b7114d68,14,3,14347,33185
0f88935ed69c,14,3,06155,42913
0f960d864969,3,2,07680,11264
0f96e3435be5,10,3,20064,28632
0fb0b95d9429,9,3,14336,18432
0fb9e3094959,9,3,20992,19968
0fc08f96aa88,6,3,20480,11776
0fd503e64fcd,10,3,23648,26584
0fde6b89f120,7,3,11264,11264
0fe661e45e3b,6,3,18944,19968
0ff188f666c5,4,2,03584,25600
0ffc99adb8b6,7,3,24064,17408
10162104cbaf,1,1,06144,45568
1018e553e7be,8,3,13824,22528
10222a871bc3,11,3,12245,21009
10274ab19ef0,6,3,17920,09216
1034579668d8,8,3,23040,12800
1036c30ebb0b,14,3,14347,29089
103906a73e6d,2,1,25600,22016
106e8a3e8dcd,4,2,07680,25600
1076beae6c1f,8,3,15872,13312
1093c107fa17,10,3,17504,28632
10a5b774d664,13,3,20480,37888
10b4548dcb4b,2,2,15872,17956
10bc24c14709,12,3,14336,16896
10be531c22b2,6,3,21504,18432
10c16de4127d,6,3,14336,08192
10c8274a40cd,8,3,16384,25088
10cf5169709f,12,3,08192,22528
10db41232cc1,11,3,16853,39441
10f752002661,12,3,22528,19456
10fd8d4f2e0d,14,3,12811,39841
11096550050e,10,3,21600,11736
11128ba6d78c,2,1,21504,21504
1134906fd579,10,3,18016,27096
11376f545f47,10,3,20576,17368
11419f4b4173,12,3,16896,30208
1142083b57e3,13,3,22528,25600
11582c44bddf,13,3,13824,29184
1164cc75253a,14,3,08203,46497
11759753cb49,8,3,20480,16896
1185d302d242,2,2,16384,12324
1186b206af9b,8,3,13824,25088
1198d3e00d4c,6,3,09216,07168
11a7cea0c466,12,3,23552,17408
11a8f3a28e64,7,3,11776,08192
11aa32136c68,7,3,15872,13312
11ad0857f582,12,3,07168,28160
11b7125c2fc2,2,2,21504,20516
11bcd6081270,12,3,12288,25600
11bf875ffa5a,12,3,08192,19456
11df57e61a88,14,3,10251,37281
11e38a0fc525,14,3,07691,27553
11eaa3e12dbb,11,3,12757,40977
11fbf642ea2d,10,3,22112,24536
12036e3f570f,12,3,09216,22016
12040bd8cd09,4,2,06144,22016
121024a6738b,13,3,22016,38400
1222b4306c01,1,1,08704,39424
1226abd93cfa,3,2,05632,11264
1228f669f65f,8,3,19968,23552
123ca87cfb19,12,3,11776,26624
123fb5fcc4fe,13,3,17408,25600
12524c2b19e6,7,3,17408,17920
1256d26a295e,10,3,24672,11736
12989675c0b5,3,2,02048,14336
1298fde375a0,2,2,19968,19492
12a9b1eb85ed,11,3,11733,35857
12ab9ac0fc55,1,1,06656,44544
12bf9036cb31,9,3,15872,26112
12d19cfae2d7,13,3,24064,37376
12d8b41d1c0e,2,2,20480,17956
12dc33d98d35,4,2,04608,23552
12ea72ef88fe,7,3,08704,27648
12ef0a5d1723,9,3,19968,09216
1300fe14c19a,12,3,12800,18944
1306fa18fd91,14,3,08203,13217
130bfe1bf973,7,3,13312,17920
130d4d323ce4,1,1,10240,39424
1313e1f20173,6,3,18432,14336
132155f294e7,11,3,06101,18449
132af53d181c,10,3,19040,20440
133b4156a94a,8,3,10752,13312
1344d08c6b18,11,3,10709,34833
13489819468b,14,3,11787,40865
13529488b334,12,3,24064,18432
13590fda446a,11,3,16853,35345
136d6a9fdaad,13,3,15872,22528
136e2ffbf65c,9,3,18944,28672
13753c730944,7,3,23040,19968
137f774612ea,13,3,12800,28160
138857b61a6a,10,3,21600,14296
138b2ccf1911,7,3,17920,16384
1394e78ef858,12,3,12288,29184
139e5cdb0d4a,6,3,20992,26112
13aa34ced90d,1,1,10752,45056
13ab3f63ab98,6,3,14848,18432
13b30bc8187f,14,3,09739,23969
13baed208de2,2,2,15872,16420
13c64fd332f2,6,3,09216,21504
13d4f8b607e9,6,3,14336,27648
13d5a99fa5f0,9,3,13824,08704
13dbe945db7e,7,3,16896,09728
13e5ffdc5edd,10,3,13920,10712
13e70093a1f8,1,2,09728,06656
13ee2b7b1cf5,12,3,14336,24576
140332c89037,8,3,17920,16896
140a42de2a5b,8,3,22528,19968
14120aa72d12,7,3,08704,07680
141729073269,4,2,01536,21504
1423b40ad0dc,2,1,20992,21504
1435006d6d11,14,3,11275,08097
1452e273f7fd,6,3,16896,14336
1460213fe6b1,8,3,12288,15872
146389dd7de1,9,3,14336,05632
14673877e1b8,8,3,13824,12800
146798f347da,11,3,15317,31249
1472d933684d,10,3,19040,23000
147ac1c0efd7,12,3,12288,28160
1488a200ab15,7,3,24576,13824
14969a5f2948,12,3,10752,17920
14a4f9ce152c,12,3,26112,17920
14a78b1660bc,13,3,14336,28160
14ac6b8b4ab6,4,2,02560,25088
14c48adf3fda,7,3,18432,18944
14e64fe91f07,2,2,17920,20004
14e929b8403f,7,3,15360,15872
14e9af9eb149,7,3,20480,26112
14f8ce3b062a,10,3,15968,24024
14f956117241,7,3,17408,12288
14fa07375333,12,3,25088,20992
1502041ef272,7,3,20992,26624
1508ea9334c0,4,2,04608,20992
1516c78a3c6e,9,3,07168,26624
151bfc87ffc9,4,2,04096,25600
151c372e5690,8,3,20480,11264
15262223b967,1,2,12288,09216
1527d91f2d41,9,3,15360,18432
15504f4139fa,9,3,14848,12800
1551bb9b055e,6,3,19456,15872
1554ebf7c779,8,3,09728,23552
155a6b751a1c,14,3,08203,14241
155cf82002e9,10,3,21600,12760
155eba299c0e,11,3,08149,43537
155efa35b902,7,3,21504,23552
15770cd6c16b,12,3,13312,25088
157e456349ca,14,3,06667,09121
157e860bb7ba,6,3,11264,11264
15964fb4d30a,7,3,17920,12288
159ef67b0d62,6,3,16896,28160
15a040465c85,11,3,13269,48145
15a07a169aac,10,3,23648,17880
15a571306478,7,3,14848,18944
15a98e3d8a59,6,3,22016,26624
15bb4d26099b,11,3,11733,43537
15c07d66d455,14,3,08715,44961
15caf619db2e,2,2,18432,20516
15cb91fcaf6e,2,2,18944,12836
15d12fd18a57,2,2,18432,20004
15e27a5d7e5c,12,3,09728,21504
15e4d95d9191,7,3,08192,23040
15e5df255b86,1,1,05632,40960
15ed954c0cdf,1,1,07168,41472
15f3846196bd,11,3,09173,45585
15ffa21e4fb8,9,3,12288,25088
160623a8bf6f,7,3,19968,07680
160aa890cbcc,3,2,11776,06656
16144fd64eec,12,3,19456,19456
161dab18393e,8,3,17408,16384
1623d9a4c579,11,3,13269,21009
16245c492afe,13,3,22016,35840
162529a2eb9f,8,3,08704,19968
1631eb83d707,7,3,19456,23552
163557f8b5c3,7,3,13824,16384
163b3fc88ccf,9,3,08704,25600
163c5677493e,11,3,12757,33809
166cca68abf8,6,3,22016,07680
166e7d9aba61,14,3,07179,42913
167126b0ba4b,9,3,08192,34816
167153f8a186,12,3,18432,20480
167545db212b,13,3,20992,27648
16786081bcb2,11,3,15829,47633
168471ed0057,10,3,23136,21976
168c44b6b73d,11,3,08661,27153
169bdf0e2a2b,4,2,07168,26112
169e6304b3d0,10,3,20064,15832
16aff0aaa514,1,2,09728,05632
16b9dda81c38,11,3,16341,21521
16bb89438171,9,3,18432,21504
16c353ba1f9f,13,3,16896,29696
16d2bd8570f5,7,3,15360,27136
16e750b3bd2a,6,3,13312,07168
16ec344e6ea4,8,3,14336,19456
16f4d27d2b61,8,3,20480,10752
16fab6bbf20c,9,3,20992,21504
16fd2f17ff5c,6,3,17920,33280
17002d250b91,8,3,22528,18432
171caefc483f,8,3,11776,14336
171fade3fb88,14,3,11787,28065
17204a7d5ff0,10,3,15968,10200
1722f70efebd,7,3,10240,17408
1726b2b19403,14,3,09739,42913
172f6bbdff70,14,3,07179,18337
17339934aa76,3,2,03072,12288
173ff6c748fd,11,3,12757,51217
1746ccf9773c,10,3,14944,08664
174b5e5b9e47,8,3,14848,25088
174f3237a637,10,3,18016,16344
175e1a9dab9c,14,3,08715,46497
175f64553d2f,14,3,07691,45473
1765af6413a0,11,3,12245,25105
1767ea05cfbc,4,2,12800,23040
177b3a6b7cec,7,3,16384,22016
177de1a7061e,10,3,16992,21464
1797f5235490,8,3,20480,23552
1798be9205ff,9,3,09728,25088
179b7a9946b2,9,3,15360,13824
17a7915f29a3,12,3,26112,23040
17b9dfc2da5d,12,3,13824,17408
17c3494edea1,14,3,06667,47009
17c6f11f9331,11,3,15829,19985
17d0de964e51,7,3,15360,10752
17f5be218c53,9,3,17920,21504
17ffbd4a056f,3,2,11776,03072
1803b93469e4,4,2,07168,20992
180728d88787,11,3,14293,32785
181368760277,12,3,14848,17408
181808fbb747,14,3,13835,09633
181f9b508e53,9,3,14336,26112
182eb12594e8,6,3,09728,34816
183342787e53,14,3,14347,18849
18468495f1f9,14,3,10763,33697
185c94e8c693,14,3,13323,13729
1863e4cefd89,8,3,11776,13312
18667682af2d,8,3,13312,13824
186a702e831d,9,3,20992,15360
186acf2bfea3,8,3,18944,19456
186d4b06960c,11,3,14805,40465
1875daa97090,7,3,20480,27136
189064c6a137,1,2,17920,10240
1893f913d64b,1,2,11264,06144
1897fa06c59d,7,3,08192,25600
18a846bdc554,13,3,22528,28672
18aaca038fbe,9,3,15360,21504
18abf6a12607,12,3,16384,17920
18adfe6c1779,6,3,10240,14336
18be061202ea,1,2,10752,41472
18c41c9302b3,14,3,10251,08097
18d2359d50eb,2,2,15872,18980
18efa372cd14,10,3,18016,25560
18f3392b821e,6,3,14848,19968
18f4daa5db16,6,3,09216,15872
190aa61076ce,9,3,20992,12800
190ad55289aa,14,3,11275,13217
19127bd4af86,7,3,14336,13824
1917e7bdb422,7,3,19968,16384
19185aa7d389,12,3,09216,27136
191a277f244b,12,3,20480,29696
19255c9c804f,14,3,08203,16801
192846d46db7,1,2,09728,04096
1929b06f2aed,13,3,11264,30720
19551df15a1e,1,1,07168,43008
1955b09e6b92,11,3,09685,23569
195bede3b91c,11,3,18901,37393
195f1bb99555,11,3,08661,33809
1965c4afe549,14,3,14347,36769
19695e404f0a,9,3,07168,38400
19832324c044,13,3,09728,24064
198926a2c508,6,3,16896,07168
1995e8ca13ac,6,3,10240,33792
19a2fb9af058,8,3,08192,22528
19aeb8028ee5,10,3,15968,25048
19b6b8363ab2,11,3,06101,31249
19b80499e514,14,3,14347,18337
19c5c6803ac1,3,2,03584,13312
19c8864ac6a0,1,2,10752,04608
19c8e14b701c,3,2,05120,16384
19d613977528,13,3,23552,24064
19e86c67b147,13,3,10752,29184
19ee41edb22a,13,3,12288,21504
19fa46a12c77,14,3,12299,41889
